% Model:              g01-compact.mph
% Version:            COMSOL 5.4.0.388
% Date:               Aug 16 2019, 21:21
% Dimension:          3
% Nodes:              6154
% Expressions:        1
% Description:        Surface
% x                       y                        z                        Color
-0.5                      6.123233995736766E-17    -0.5                     0.599744657263765
-0.49908706862840435      -0.030189194627611087    -0.5                     0.597399181513453
-0.14960559365771617      -0.4770934566165442      -0.44836738618085165     0.20071744142781148
-0.16352425965928363      -0.4725037740620525      -0.4741836930904258      0.21090173709196716
-0.13469685993644195      -0.48151506302841923     -0.4741836930904258      0.17385648564261658
-0.1487515121274856       -0.4773603709838396      -0.49999999999999994     0.1791541973388667
-0.11965764865871913      -0.48547014713981274     -0.49999999999999994     0.1441895912725678
-0.1777207045197337       -0.46734928178505797     -0.4472956225868734      0.23854884906357232
-0.0915450809964305       -0.491548062904694       -0.4565739464685913      0.1215175620190496
-0.10564516555044157      -0.4887116726617237      -0.4782869732342956      0.1352234305332633
-0.07594475064331435      -0.4941987402348622      -0.47828697323429564     0.09740851739218961
-0.09012746953743155      -0.49180974422030144     -0.5                     0.10842173839640483
-0.0602683069754977       -0.49635403870354167     -0.5                     0.07245198721795128
-0.12079174591947034      -0.4851900185677011      -0.45247066632472144     0.16119141149909894
-0.04247092963912478      -0.4981929547229552      -0.4611606134415756      0.05601902336588237
-0.06709032287510952      -0.4954784441088366      -0.4588672799550835      0.08878539776379596
-0.05137786679891688      -0.4973533098343599      -0.4805803067207878      0.0652100719635766
-0.21791001207755784      -0.4500169181668158      -0.41882635019662345     0.30038002404465763
-0.23044228120259555      -0.443730047477229       -0.3914288414003517      0.3239933414561624
-0.24468379810178156      -0.43603880440447795     -0.4188263495346875      0.3373265549630693
-0.2575644995306146       -0.42855633069824556     -0.39323285132945074     0.3616832560824894
-0.25732904342173163      -0.4286977529818142      -0.3426986683880985      0.3713624550848818
-0.2706433933260587       -0.42041902151182015     -0.3688677648233242      0.3855324709717757
-0.24400145235406248      -0.43642100230065484     -0.3670637548942251      0.3479678780192166
-0.19196090591762258      -0.46168280301445674     -0.4203356838350166      0.26428586744098326
-0.16415765030961663      -0.47228409442286495     -0.42140744742899483     0.22586737371731846
-0.1785554694778441       -0.46703098860733716     -0.394447508677138       0.2506138711479991
-0.20483047497821694      -0.4561189280442087      -0.39293817503874484     0.28772418664598226
-0.12027417785900389      -0.4853185779880477      -0.4041899048539024      0.16759947879716955
-0.13500254043488683      -0.4814294487005617      -0.42627864551737704     0.18492262237406637
-0.10595542093776071      -0.4886445014260387      -0.43038192566124683     0.14456569028153127
-0.1496943503048983       -0.47706561549413135     -0.39931870676552017     0.20935877051377855
